Group,Content,TotalIDs,KeepID,DeleteIDs
1,"Look at the picture.",29,1484,"1485, 1486, 1487, 1488, 1489, 1490, 1491, 1492, 1493, 1494, 1495, 1534, 1535, 1536, 1537, 1538, 1539, 1540, 1541, 1542, 1543, 1544, 1545, 1587, 1588, 1589, 1590, 1593"
2,"Customer inquiries must be answered _____ to maintain satisfaction.",10,434,"528, 571, 614, 657, 700, 743, 785, 879, 922"
3,"Employees with at least two years of service are _____ for the bonus program.",10,435,"529, 572, 615, 658, 701, 744, 787, 880, 923"
4,"Any budget changes require prior _____ from the finance director.",10,437,"531, 573, 616, 659, 702, 745, 786, 881, 924"
5,"Our prices are _____ to those of major competitors.",10,438,"530, 574, 617, 660, 703, 746, 789, 882, 925"
6,"The research team will _____ a series of user tests next quarter.",10,439,"532, 575, 618, 661, 705, 747, 790, 883, 926"
7,"We look forward _____ you at the networking session.",10,440,"533, 576, 619, 662, 704, 748, 791, 834, 927"
8,"The proposal, _____ was submitted yesterday, will be reviewed next week.",10,441,"488, 577, 620, 663, 706, 749, 792, 835, 929"
9,"_____ by rising costs, the board decided to delay the project.",10,442,"487, 578, 622, 664, 708, 750, 793, 836, 928"
10,"This software is far _____ efficient than the previous version.",10,443,"486, 579, 621, 665, 707, 751, 794, 837, 930"
11,"The new branch is not _____ busy as the downtown office.",10,444,"484, 580, 623, 666, 709, 752, 795, 838, 931"
12,"If you _____ any questions, please contact our support team.",10,445,"485, 581, 624, 667, 710, 753, 796, 839, 932"
13,"Visitors _____ present a valid ID at reception.",10,446,"489, 582, 625, 668, 711, 754, 797, 840, 933"
14,"Vendors are invited to _____ bids for the renovation project.",10,447,"490, 583, 626, 669, 714, 755, 798, 841, 888"
15,"The design team worked overnight to _____ the deadline.",10,448,"491, 535, 627, 670, 712, 756, 799, 842, 884"
16,"Interest will _____ on outstanding balances after 30 days.",10,449,"492, 538, 628, 671, 713, 757, 800, 843, 885"
17,"There are _____ tickets available than we expected.",10,450,"493, 534, 629, 672, 716, 758, 801, 844, 886"
18,"How _____ time do you need to finish the draft?",10,451,"494, 537, 630, 673, 715, 759, 802, 845, 887"
19,"The new strategy focuses on reducing costs, improving quality, and _____ delivery times.",10,452,"495, 536, 631, 674, 718, 760, 803, 846, 889"
20,"Our sales _____ steadily since the online campaign began.",10,453,"496, 539, 632, 675, 717, 761, 804, 847, 890"
21,"By the time the auditor arrived, the team _____ the inventory.",10,454,"497, 540, 633, 677, 719, 762, 806, 848, 891"
22,"Each employee must submit _____ own performance review.",10,455,"498, 541, 588, 676, 720, 763, 805, 849, 892"
23,"Neither the suppliers nor the warehouse manager _____ available today.",10,456,"499, 542, 586, 680, 721, 764, 807, 850, 893"
24,"To minimize the _____ delays, please confirm the schedule in advance.",10,457,"500, 543, 585, 678, 724, 765, 808, 851, 894"
25,"The new coordinator will be responsible _____ organizing the annual fair.",10,458,"501, 544, 587, 679, 722, 766, 809, 852, 895"
26,"The morning session was highly _____ thanks to clear objectives.",10,459,"502, 545, 584, 683, 723, 767, 812, 853, 896"
27,"Protective equipment _____ in all laboratory areas.",10,460,"503, 546, 589, 681, 725, 768, 810, 854, 897"
28,"Please provide three _____ of identification at check-in.",10,461,"504, 547, 590, 682, 728, 769, 811, 855, 898"
29,"We will notify you _____ possible if there are any changes.",10,462,"505, 548, 591, 637, 726, 770, 813, 856, 899"
30,"We will _____ the brochures printed by a professional service.",10,463,"506, 549, 592, 634, 727, 772, 814, 857, 900"
31,"She said she _____ the documents the following day.",10,464,"507, 550, 593, 638, 729, 771, 816, 858, 901"
32,"Mr. Ortiz, the regional director, _____ the panel discussion.",10,465,"508, 551, 594, 635, 730, 773, 815, 859, 902"
33,"The committee recommended that the budget _____ by 5 percent.",10,466,"509, 552, 595, 636, 731, 774, 817, 860, 903"
34,"All interns should report to their _____ supervisors before noon.",10,467,"510, 553, 596, 639, 732, 775, 818, 861, 904"
35,"Please _____ your completed forms to the front desk.",10,468,"511, 554, 597, 640, 733, 777, 819, 862, 905"
36,"Scarcely _____ the announcement finished when the questions began.",10,469,"512, 555, 598, 641, 687, 776, 820, 863, 906"
37,"Either the HR team or the project leads _____ to attend the briefing.",10,470,"513, 556, 599, 642, 685, 778, 821, 864, 907"
38,"Please include at least two professional _____ with your application.",10,471,"514, 557, 600, 643, 688, 779, 822, 865, 908"
39,"The agenda was sent early _____ participants could prepare questions.",10,472,"515, 558, 601, 644, 686, 780, 823, 866, 909"
40,"Please settle any _____ balances before the end of the month.",10,473,"516, 559, 602, 645, 684, 781, 824, 867, 910"
41,"We will proceed with the launch _____ market conditions remain uncertain.",10,474,"517, 560, 603, 646, 689, 782, 825, 868, 911"
42,"_____ option seems ideal, but we must choose one by today.",10,475,"518, 561, 604, 647, 690, 783, 826, 869, 912"
43,"I am writing _____ of the logistics team regarding your shipment.",10,476,"519, 562, 605, 648, 691, 735, 827, 870, 913"
44,"The company plans to _____ its operations to Southeast Asia next year.",10,477,"520, 563, 607, 649, 692, 734, 829, 871, 914"
45,"Please remember _____ your ID badge when entering the building.",10,478,"521, 564, 606, 650, 693, 736, 828, 872, 915"
46,"_____ the weather was bad, the outdoor event continued as planned.",10,479,"522, 565, 609, 651, 694, 737, 830, 873, 916"
47,"_____ we received all the documents, the application can be processed today.",10,480,"523, 566, 608, 652, 695, 738, 831, 874, 917"
48,"The manager asked the team to submit their reports _____ Friday.",10,481,"524, 567, 610, 653, 696, 739, 832, 875, 918"
49,"The workshop begins _____ 9:30 a.m. in the main auditorium.",10,482,"525, 568, 611, 654, 697, 740, 833, 876, 919"
50,"Seats are limited, so please register at least one week _____.",10,483,"526, 569, 612, 655, 698, 741, 788, 877, 920"
51,"What are the speakers mainly discussing?",7,1241,"1255, 1335, 1364, 1452, 1459, 1507"
52,"The store is open _____ 9 a.m. and   2 p.m. on weekdays.",4,527,"613, 699, 878"
53,"The CEO is expected ____ at the opening ceremony.",4,1084,"1185, 1320, 1410"
54,"Please submit the form ____ Friday at the latest.",4,1085,"1184, 1322, 1421"
55,"The conference room can ____ up to 80 guests.",4,1086,"1187, 1323, 1411"
56,"Applicants must be ____ to work on weekends.",4,1087,"1188, 1319, 1413"
57,"The manager ____ the proposal before sending it to the board.",4,1088,"1186, 1318, 1416"
58,"Due to the roadwork, deliveries may be ____ by a day.",4,1089,"1189, 1321, 1424"
59,"The brochure includes a detailed ____ of our services.",4,1090,"1190, 1288, 1414"
60,"Our suppliers were ____ to meet the revised deadline.",4,1091,"1191, 1286, 1420"
61,"The shipment has not arrived ____.",4,1096,"1196, 1290, 1387"
62,"Employees are encouraged to park in the ____ lot.",4,1097,"1197, 1291, 1385"
63,"We are looking for candidates with strong analytical ____.",4,1098,"1198, 1292, 1388"
64,"Because of the holiday, the office will be ____ on Monday.",4,1099,"1199, 1293, 1386"
65,"The machine operates more ____ after the upgrade.",4,1100,"1200, 1294, 1384"
66,"There will be a brief interruption ____ routine maintenance.",4,1101,"1201, 1295, 1389"
67,"Customers can request a refund ____ 14 days of purchase.",4,1102,"1202, 1296, 1390"
68,"The director will retire next year ____ she turns 65.",4,1103,"1203, 1297, 1391"
69,"The committee reached a decision ____ the budget increases.",4,1104,"1205, 1298, 1393"
70,"Please make sure the invoice is ____ before mailing it.",4,1105,"1204, 1299, 1392"
71,"The training is mandatory for all staff ____ new hires.",4,1106,"1206, 1300, 1394"
72,"The clerk ____ the customer a receipt after the purchase.",4,1107,"1209, 1301, 1395"
73,"The project was delayed ____ unexpected technical issues.",4,1109,"1208, 1303, 1397"
74,"The proposal was rejected because it was too ____.",4,1110,"1210, 1304, 1398"
75,"The firm will ____ its head office to a larger building.",4,1111,"1211, 1305, 1399"
76,"The memo was sent to notify employees ____ the policy changes.",4,1112,"1214, 1308, 1402"
77,"The auditorium is large enough to ____ 800 visitors.",4,1113,"1215, 1309, 1408"
78,"Please contact us if you have ____ further questions.",4,1114,"1212, 1306, 1400"
79,"The conference attracted ____ 500 participants.",4,1115,"1213, 1307, 1401"
80,"Management intends to ____ production during the peak season.",4,1116,"1218, 1312, 1405"
81,"The apartment is fully ____ and ready for move-in.",4,1117,"1219, 1313, 1406"
82,"The new security policy will take effect ____ July 1.",4,1118,"1217, 1311, 1403"
83,"We must ____ compliance with the new regulations.",4,1119,"1222, 1314, 1407"
84,"The warranty covers parts and labor for one year from the date of ____.",4,1120,"1216, 1310, 1404"
85,"Please ____ the form clearly in block letters.",4,1121,"1224, 1317, 1412"
86,"The technician will ____ the printer this afternoon.",4,1122,"1220, 1315, 1417"
87,"[Notice] The parking garage will be closed on Saturday for cleaning. Readers should ____.",4,1123,"1226, 1329, 1437"
88,"[Email] We will be upgrading servers this weekend. Service may be slow. The purpose of this email is to ____.",4,1124,"1223, 1328, 1431"
89,"Applicants should ____ at least two references.",4,1125,"1221, 1316, 1409"
90,"[Advertisement] Join our fitness club this month and pay no joining fee. The ad mainly ____.",4,1127,"1229, 1332, 1429"
91,"[Memo] Please ensure all doors are locked after 9 p.m. The memo mainly ____.",4,1128,"1227, 1331, 1423"
92,"[Memo] Due to staffing shortages, response times may be longer this week. The memo ____.",4,1129,"1231, 1324, 1428"
93,"[Flyer] Buy two, get one free this weekend only. The flyer ____.",4,1130,"1233, 1327, 1427"
94,"[Email] Please find the agenda attached. We will start at 10 a.m. The email ____.",4,1131,"1228, 1325, 1432"
95,"[Notice] Elevators will be inspected on Tuesday morning. The notice is intended to ____.",4,1132,"1230, 1333, 1426"
96,"What is the man's problem?",4,1256,"1365, 1457, 1600"
97,"What does the woman suggest?",4,1257,"1367, 1458, 1601"
98,"What are listeners advised to do?",4,1271,"1380, 1470, 1609"
99,"The store is open _____ 9 a.m. and   4 p.m. on weekdays.",3,436,"656, 921"
100,"Look at the picture. What is near the counter?",3,958,"986, 1070"
101,"Look at the picture. What are the passengers doing?",3,960,"985, 1077"
102,"Look at the picture. What is being repaired?",3,961,"987, 1071"
103,"Look at the picture. What is the engineer checking?",3,963,"988, 1072"
104,"Look at the picture. What are the hikers doing?",3,970,"995, 1078"
105,"The device is ____ for indoor and outdoor use.",3,1192,"1285, 1419"
